Year,From,To,Scheme,Payment Type,Amount,Location,Notes,link
2008,CFU,Co-Conspirator #1,Scheme G,Kickback,"$205,000",-,WARNER acting via CFU directed payment one as partial fullfillment of $1 million agreed with Co-Conspirator #1 in bribe scheme. Republic Bank in Trinidad and Tobago to Myrill Lynch brokerage account in New York.,
2008,CFU,Co-Conspirator #1,Scheme G,Kickback,"$250,000",-,"WARNER acting via CFU directed payment one as partial fullfillment of $1 million agreed with Co-Conspirator #1 in bribe scheme. From Trinidad and Tobago, money was delivered by check to New York where it
was subsequently taken by representative of FirstCaribbean International Bank in the Bahamas who then flew the check back and deposited in account held by Co-Conspirator #1.
",
2009,Traffic USA,"Federacion Costarricense de Fútbol (FEDEFUT), Costa Rican soccer federation",Scheme H,Marketing,"$2,500,000",-,Contract of $2.5-$3 million (depending on sporting success) for exclusive worldwide rights to home World Cup qualifiers in advance of 2018 World Cup.,
2009,Traffic; Co-Conspirator #4,EDUARDO LI,Scheme H,Kickback,,-,Arranged and paid a six figure dollar bribe for awarding Traffic USA commercial rights.  Subsequent bribes followed: LI continued to seek bribes after Co-Conspirator #4 left Traffic in 2012.,
2011,Traffic USA,"Federacion Nicaragüense de Futbol (FENIFUT), the Nicaraguan soccer federation",Scheme H,Marketing,"$1,138,000",-,Contract of $1.138 - $1.288 million (depending on sporting success) for exclusive worldwide rights to World Cup qualifiers in advance of 2018 World Cup.,
2011,Traffic; Co-Conspirator #4,JULIO ROCHA; Co-Conspirator #18,Scheme H,Kickback,"$150,000",-,"ROCHA arranged and paid a six figure dollar bribe (at least $100,000) for awarding Traffic USA commercial rights. Co-Conspirator #18 also arranged an unspecified amount bribe, reported to be $50,000. ROCHA sought further bribes on this relation, even after he stepped down as President of FENIFUT.",
2011,Co-Conspirator #7,Jack Warner,Scheme I,Meeting Travel,"$363,537.98",Qatar,Money wired from Co-Conspirator #7 account in NYC to Trinidad and Tobago to pay for convening of CFU members that Co-Conspirator #7 sought to address and bribe regarding his FIFA presidential candidacy.,
2011,Jack Warner,CFU members,Scheme I,Kickback,"$40,000",Qatar,"On behalf of Co-Conspirator #7, WARNER invites all CFU members in attendance to meeting to his room (one by one) for ""gift"" : envelope of $40,000 cash",
2011,Co-Conspirator #7,Jack Warner,Scheme I,Kickback,"$1,211,980",Qatar,"After scheme uncovered forcing WARNER to resign, Co-Conspirator #7 (Qatar) wired payment to WARNER InterCommercial Bank account in Trinidad and Tobago. Warner attempted to disperse funds among friends and Co-Conspirator #14 but banks refused financial transactions.",
2012,Traffic USA,CFU ,Scheme J,Marketing ,"$23,000,000",-,Traffic USA obtains commercial rights for 2018 and 2022 World Cup qualifiers.,
,Traffic USA,Jeffrey Webb,Scheme J,Kickback,"$3,000,000",-,Traffic USA agrees to pay bribe for commerical rights for CFU 2018 and 2022 World Cup qualifiers.,
,"Sports Marketing Company C; Conspirator #13, Co-Conspirator #20, and Co-Conspirator #21",Traffic USA; Co-Conspirator #4,Scheme J,Kickback,-,,"Forging a transnational partnership, Traffic USA and Sports Marketing Company C decide to split the bribe payment ($1,500,000 each) required in obtaining CFU rights.",
2012,Traffic USA,Front Company A,Scheme J,Kickback,"$1,200,000",-,"Traffic USA obtains intermediary TAKKAS to channel money in the fulfillment of their split of the bribe payment. Attempting to obscure the money trail, Traffic USA instigates a money movement scheme as follows: $1.2 million from Delta National Bank & Trust Co. in Miami, Florida wired to correspondent HSBC bank in Buffalo, New York where it is then transferred for credit at Hong Kong HSBC bank in account of Front Company A.",
2012,Front Company A,Costas Takkas,Scheme J,Kickback,"$750,000",-,Money wired through Standard Charter Bank for credit in Kosson Ventures (Takkas company) in Cayman Islands faciliates WEBB payment.,
2012,Front Company A,Costas Takkas,Scheme J,Kickback,"$250,000",-,Money wired through Standard Charter Bank for credit in Kosson Ventures (Takkas company) in Cayman Islands faciliates WEBB payment.,
2012,Front Company A,Co-Conspirator #22,Scheme J,Kickback,"$200,000",-,"Owner of Front Company A, Co-Conspirator #22, receives $200,000 kickback.",
2012,Traffic USA,Costas Takkas; Friend of Co-Conspirator #2,Scheme J,Kickback,"$500,000",-,Final payment of $1.5 million owned to WEBB payed via TAKKAS.,
2012,Costas Takkas,Jeffrey Webb,Scheme J,Kickback,-,-,"Portion of funds transferred to United Community Bank
in Blairsville, Georgia to pay for residential swimming pool WEBB was having constructed.",
2012,Costas Takkas,Jeffrey Webb,Scheme J,Kickback,-,-,"Realty purchase on behalf of WEBB in Stone Mountain, Georgia.",
2014,Sports Marketing Company C ,,Scheme J,Kickback,-,-,Ongoing conversations and search for a way to trasfer bribe funds undetected.,
2012,Traffic USA,CONCACAF,Scheme K,Marketing,"$15,500,000",-,Traffic USA (then represented by Aaron Davidson) obtained from CONCACAF (then represented by Co-Conspirator #4) the exclusive worldwide commerical rights for the 2013 Gold Cup and the 2013-14 and 2014-15 CONCACAF seasons,
2012,Traffic USA,Jeffrey Webb; Co-Conspirators #2,Scheme K,Kickback,-,-,"Sought and obtained committement to a bribe of $1,100,000.",
2012,Traffic USA; Co-Conspirator #4,Soccer Uniform Company A; Co-Conspirator #23,Scheme K,Kickback,"$1,100,000",-,"WEBB obtains bribe through money laundering scheme involving false invoices via Soccer Uniform Company A. The bribe payment from Traffic occured via wire transfer from Delta National Bank and Trust in MIami to Wells Fargo correspondent account in NYC for credit in account by Soccer Uniform Company at Capital Bank in Panama City, Panama.",
2013,Traffic USA,CONCACAF,Scheme K,Marketing,"$60,000,000",-,"Renewal commerical contract for 2015, 2017, 2019, and 2021 editions of the Gold Cup as well as teh 2015-16 through 2021-22 seasons of CONCACAF Champions League. ",
2013,Traffic USA; Co-Conspirator #4,Soccer Uniform Company A; Co-Conspirator #23,Scheme K,Kickback,"$2,000,000",-,"Sought and obtained committement to a bribe of $2,000,000.",
2013,Co-Conspirator #2 (representing Traffic),CONMEBOL,Scheme L,Kickback,"$10,000,000",-,"Joining a Alejandro Burzaco, HUGO JINKIS, and MARIANO JINKIS in newly forged tripart company, Datisan (Full Play, Torneos, and Traffic partnership) agrees to and carries out a $10,000,000 bribe committment for having secured Copa America rights.",
2013,Datisan,CONMEBOL,Scheme L,Marketing,"$317,500,000",-,"Contract secured worldwide, exclusive commercial rights to Copa America's 2015, 2016, 2019, and 2023 editions.  ",
2013,Datisan,,Scheme L,Kickback,,-,"Datisan agrees to pay massive bribe scheme of $100,000,000 for 2013 Copa America contract. See side details.",
2013,Traffic International,Cross Trading,Scheme L,Kickback,"$5,000,000",Switzerland,One of three money transfers by which Traffic International pays its third share of first $40 million CONMEBOL bribes via wire transfer from US to Switzerland.,
2013,Traffic International,FTP (Tornes Affiliate),Scheme L,Kickback,"$5,000,000",Switzerland,One of three money transfers by which Traffic International pays its third share of first $40 million CONMEBOL bribes via wire transfer from US to Switzerland.,
2013,Traffic International,FTP (Tornes Affiliate),Scheme L,Kickback,"$1,666,667",Switzerland,One of three money transfers by which Traffic International pays its third share of first $40 million CONMEBOL bribes via wire transfer from US to Switzerland.,
2013,Datisan,Cross Trading,Scheme L,Kickback,"$1,667,000",-,Additional Datisan contribution toward payment of first $40 million CONMEBOL bribes via wire transfer between Swiss accounts.,
2013-14,Datisan,CONMEBOL officials,Scheme L,Kickback,-,-,Global dispersal of bribe payments.,
2014,Bayan Group S.A. (“Bayan”) -a Full Play company,Rafael Esquivel,Scheme L,Kickback,"$50,000",-,Effort to conceal nature and source of payment to Rafael Esquivel.,
2014,Bayan Group S.A. (“Bayan”) -a Full Play company,Rafael Esquivel,Scheme L,Kickback,"$250,000",-,Effort to conceal nature and source of payment to Rafael Esquivel.,
2014,Bayan Group S.A. (“Bayan”) -a Full Play company,Rafael Esquivel,Scheme L,Kickback,"$400,000",-,Effort to conceal nature and source of payment to Rafael Esquivel.,
2013-14,Datisan,Jose Margulies (Margulies Intermediaries),Scheme L,Kickback,"$3,800,000",-,"Jose Marguliesacting as intermediary, distoring money placement as it works its way from Datisan to Rafael Esquivel.",
2014,Jose Margulies(Margulies Intermediaries),Bayan Account controlled by Rafael Esquivel,Scheme L,Kickback,"$2,000,000",-,,
2014,Datisan,CONCACAF,Scheme L,Marketing,"$35,000,000",-,Datisan seeks and obtains CONCACAF commercial rights for special 2016 Centenario Contract.,
2014,Datisan,Jeffrey Webb,Scheme L,Kickback,-,-,Datisan agrees to unspecified bribe payment to WEBB for CONCACAF contract.,
